seller_id,late_count,late_rate,avg_delay,total_orders_x,avg_review_score,review_count,total_orders_y,combined_problem_score
5dceca129747e92ff8ef7a997dc4f8ca,18,5.247813411078718,-10.61,322,3.99,342,325,1.2723906705539356
f262cbc1c910c83959f849465454ddd3,15,7.352941176470589,-9.2,189,4.1,206,192,1.2676470588235298
218d46b86c1881d022bce9c68a7d4b15,35,8.333333333333332,-11.04,382,4.15,425,388,1.2666666666666662
8e8a7ce9f2f970dc00e2acf6f6e199f6,4,6.25,-10.42,63,4.05,65,65,1.2625000000000002
2528513dd95219a6013d4d05176e391a,7,4.216867469879518,-11.59,160,3.95,164,161,1.2608433734939757
98dac6635aee4995d501a3972e047414,5,2.631578947368421,-11.01,89,3.88,193,91,1.2515789473684211
da8622b14eb17ae2831f4ac5b9dab84a,99,6.395348837209303,-10.53,1311,4.07,1545,1314,1.249767441860465
f0b47fbbc6dee9aafe415a6e33051b3f,8,9.411764705882353,-12.01,67,4.23,86,68,1.2405882352941173
f80edd2c5aaa505cc4b0a3b219abf4b8,8,6.4,-11.44,116,4.08,127,119,1.24
066a6914e1ebf3ea95a216c73a986b91,3,4.166666666666666,-16.15,66,3.97,73,68,1.238333333333333
6a8b085f816a1f75f92dbac6eb545f8f,10,7.518796992481203,-9.42,125,4.14,135,127,1.2359398496240606
9e6229250fedbe05838fef417b74e7fb,2,2.5974025974025974,-14.84,73,3.9,78,74,1.22987012987013
05d2173d43ea568aa0540eba70d2ca76,3,4.545454545454546,-10.89,62,4.0,64,62,1.2272727272727273
1c68394e931a64f90ea236c5ea590300,6,3.508771929824561,-14.71,142,3.95,171,142,1.225438596491228
17e34d8224d27a541263c4c64b11a56b,19,7.307692307692308,-10.15,247,4.14,266,255,1.2253846153846157
7ea5bfa6c340f58f8e71fc1f0412b0d6,6,5.88235294117647,-9.5,96,4.08,103,98,1.2141176470588233
45d33f715e24d15a6ccf5c17b3a23e3c,3,5.172413793103448,-11.3,56,4.05,61,59,1.2086206896551726
620c87c171fb2a6dd6e8bb4dec959fc6,65,8.354755784061698,-13.06,722,4.21,784,740,1.207737789203085
813348c996469b40f2e028d5429d3495,8,4.102564102564102,-10.21,172,4.0,198,179,1.205128205128205
79ebd9a61bac3eaf882805ed4ecfa12a,6,4.285714285714286,-11.69,133,4.01,143,136,1.2042857142857144
b2ba3715d723d245138f291a6fe42594,22,6.2857142857142865,-9.36,324,4.11,360,337,1.204285714285714
c9c7905cffc4ef9ff9f113554423e671,10,7.194244604316546,-9.37,127,4.16,139,127,1.1997122302158272
062ce95fa2ad4dfaedfc79260130565f,2,3.389830508474576,-12.88,54,3.97,60,55,1.1994915254237286
0c8380b62e38e8a1e6adbeba7eb9688c,10,4.587155963302752,-11.81,180,4.03,218,182,1.1993577981651373
e067ad2c1c0b48758eb1b5228bcf7a68,4,6.557377049180328,-9.88,54,4.13,61,54,1.1978688524590164
6860153b69cc696d5dcfe1cdaaafcf62,6,7.142857142857142,-8.88,74,4.16,83,74,1.197142857142857
53e4c6e0f4312d4d2107a8c9cddf45cd,24,4.6875,-12.72,463,4.04,520,473,1.194375
7e3f87d16fb353f408d467e74fbd8014,6,6.451612903225806,-9.77,91,4.13,94,92,1.1925806451612904
2a7dc43cecabf23403078e2188437d1d,3,5.555555555555555,-9.54,52,4.09,54,52,1.1877777777777778
ce248b21cb2adc36282ede306b7660e5,5,7.6923076923076925,-9.83,64,4.2,66,65,1.1846153846153844
1127b7f2594683f2510f1c2c834a486b,7,5.46875,-9.97,110,4.09,132,114,1.1834375000000001
624f4ece8da4aafb77699233d480f8ef,4,7.4074074074074066,-10.28,52,4.19,54,53,1.1803703703703698
f84fa566034f5e8e880a07ec624c56af,9,9.0,-7.54,89,4.27,101,91,1.1800000000000004
ce27a3cc3c8cc1ea79d11e561e9bebb6,2,1.3245033112582782,-12.75,122,3.89,140,135,1.1762251655629137
643214e62b870443ccbe55ab29a4dccf,8,12.121212121212121,-10.01,65,4.43,68,66,1.1760606060606063
cc419e0650a3c5ba77189a1882b7556a,88,5.119255381035486,-12.35,1651,4.08,1767,1706,1.1759627690517742
ba143b05f0110f0dc71ad71b4466ce92,10,11.904761904761903,-7.77,83,4.42,85,85,1.1752380952380952
951e8cef368f09bb3f3d03c00ca4702c,4,5.797101449275362,-10.12,62,4.12,68,64,1.169855072463768
1f9ab4708f3056ede07124aad39a2554,4,5.194805194805195,-12.82,76,4.09,78,78,1.16974025974026
8581055ce74af1daba164fdbd55a40de,34,7.981220657276995,-8.52,380,4.23,434,387,1.1690610328638493
0b90b6df587eb83608a64ea8b390cf07,7,3.349282296650718,-17.62,163,4.0,209,164,1.167464114832536
a17f621c590ea0fab3d5d883e1630ec6,4,5.128205128205128,-9.84,63,4.09,76,65,1.1664102564102565
fd386aa7bed2af3c7035c65506c9b4a3,8,10.526315789473683,-8.94,69,4.36,76,69,1.1663157894736838
3d871de0142ce09b7081e2b9d1733cb1,62,5.4818744473916885,-12.4,1064,4.11,1135,1080,1.164093722369584
e24fc9fcd865784fb25705606fe3dfe7,4,7.2727272727272725,-12.76,51,4.2,56,52,1.1636363636363636
9b013e03b2ab786505a1d3b5c0756754,7,3.1818181818181817,-9.41,170,4.0,219,174,1.1590909090909092
70c27847eca8195c983ed7e798c56743,7,7.142857142857142,-11.18,77,4.2,98,77,1.157142857142857
d6b1ce66b035a475f00c017792ff9769,7,6.481481481481481,-11.94,92,4.17,103,92,1.154074074074074
3bdff180c7e1f6551a643b99c265a120,2,3.4482758620689653,-11.71,56,4.02,60,59,1.1524137931034486
6b243f80ed07b10f0e8aa0f21a205f3c,3,3.3707865168539324,-13.72,79,4.02,89,79,1.148539325842697
42b729f859728f5079499127a9c2ef37,13,9.923664122137405,-6.55,103,4.35,130,104,1.1461832061068706
e9779976487b77c6d4ac45f75ec7afe9,46,6.233062330623306,-9.11,645,4.17,746,657,1.1416531165311654
2e1c9f22be269ef4643f826c9e650a52,10,5.9880239520958085,-9.76,161,4.16,170,167,1.1394011976047902
dc317f341ab0e22f39acbd9dbf9b4a1f,3,5.172413793103448,-14.45,55,4.12,58,55,1.1386206896551723
95e03ca3d4146e4011985981aeb959b9,6,3.1578947368421053,-14.49,172,4.02,191,175,1.1378947368421057
4830e40640734fc1c52cd21127c341d4,10,4.716981132075472,-10.46,204,4.1,218,210,1.135849056603774
9646c3513289980f17226a2fc4720dbd,6,7.894736842105263,-12.23,69,4.26,78,71,1.1347368421052635
bd0389da23d89b726abf911cccc54596,6,6.666666666666667,-11.81,87,4.2,90,87,1.1333333333333333
7178f9f4dd81dcef02f62acdf8151e01,7,3.255813953488372,-17.94,202,4.03,215,203,1.1327906976744184
004c9cd9d87a3c30c522c48c4fc07416,10,5.952380952380952,-11.33,156,4.17,167,158,1.1276190476190475
822166ed1e47908f7cfb49946d03c726,1,0.9259259259259258,-11.99,69,3.92,106,69,1.1262962962962964
0c7533c71df861ec58ad7ff999ed0e8d,3,4.10958904109589,-9.07,61,4.08,73,61,1.1254794520547944
1da3aeb70d7989d1e6d9b0e887f97c23,13,4.012345679012346,-10.98,261,4.08,326,265,1.1206172839506172
fa1c13f2614d7b5c4749cbc52fecda94,53,9.153713298791018,-9.61,578,4.34,582,585,1.117685664939551
