seller_id,late_count,late_rate,avg_delay,total_orders
66922902710d126a0e7d26b0e3805106,11,7.096774193548387,-9.55,150
c8b0e2b0a7095e5d8219575d5e7e1181,6,7.0588235294117645,-10.11,84
f214d28e8d8e3ef068748498ccc2f813,4,7.017543859649122,-12.38,52
7142540dd4c91e2237acb7e911c4eba2,23,7.01219512195122,-13.15,316
edb1ef5e36e0c8cd84eb3c9b003e486d,12,6.896551724137931,-12.84,165
4a3ccda38b2129705f3fb522db62ca31,5,6.8493150684931505,-10.39,64
f7ccf836d21b2fb1de37564105216cc1,5,6.8493150684931505,-8.33,69
48436dade18ac8b2bce089ec2a041202,10,6.802721088435375,-9.39,134
3b15288545f8928d3e65a8f949a28291,8,6.779661016949152,-11.12,101
f5a590cf36251cf1162ea35bef76fe84,8,6.779661016949152,-10.35,113
de23c3b98a88888289c6f5cc1209054a,12,6.741573033707865,-9.89,161
1025f0e2d44d7041d6cf58b6550e0bfa,95,6.690140845070422,-10.39,910
bd0389da23d89b726abf911cccc54596,6,6.666666666666667,-11.81,87
dc4a0fc896dc34b0d5bfec8438291c80,16,6.6115702479338845,-10.8,225
f45122a9ab94eb4f3f8953578bc0c560,13,6.598984771573605,-9.67,184
e067ad2c1c0b48758eb1b5228bcf7a68,4,6.557377049180328,-9.88,54
aba1721a889e04decc910aa13b768ef4,6,6.521739130434782,-10.94,83
1900267e848ceeba8fa32d80c1a5f5a8,34,6.5009560229445515,-9.4,406
d6b1ce66b035a475f00c017792ff9769,7,6.481481481481481,-11.94,92
955fee9216a65b617aa5c0531780ce60,95,6.453804347826086,-9.63,1261
8a130737016f838139d31878787a39c9,4,6.451612903225806,-10.0,56
7e3f87d16fb353f408d467e74fbd8014,6,6.451612903225806,-9.77,91
f80edd2c5aaa505cc4b0a3b219abf4b8,8,6.4,-11.44,116
00ee68308b45bc5e2660cd833c3f81cc,11,6.395348837209303,-10.15,135
da8622b14eb17ae2831f4ac5b9dab84a,99,6.395348837209303,-10.53,1311
5b925e1d006e9476d738aa200751b73b,4,6.349206349206349,-10.51,63
ccc4bbb5f32a6ab2b7066a4130f114e3,12,6.349206349206349,-16.18,184
6d66611d7c44cc30ce351abc49a68421,11,6.321839080459771,-10.06,164
3be634553519fb6536a03e1358e9fdc7,6,6.315789473684211,-10.13,80
4371b634e0efc0e22b09b52907d9d469,7,6.306306306306306,-10.08,101
0be8ff43f22e456b4e0371b2245e4d01,11,6.2857142857142865,-11.11,156
b2ba3715d723d245138f291a6fe42594,22,6.2857142857142865,-9.36,324
d1c281d3ae149232351cd8c8cc885f0d,15,6.2761506276150625,-10.85,214
d05ae8f7a5bd1d2a690a44cd079e4e27,5,6.25,-10.52,77
70eea00b476a314817cefde4aad4f89a,7,6.25,-11.54,106
96493fab2fbb13a14d0c0e8772eef5c3,4,6.25,-9.53,63
8e8a7ce9f2f970dc00e2acf6f6e199f6,4,6.25,-10.42,63
e9779976487b77c6d4ac45f75ec7afe9,46,6.233062330623306,-9.11,645
f4aba7c0bca51484c30ab7bdc34bcdd1,7,6.086956521739131,-15.0,108
6d803cb79cc31c41c4c789a75933b3c7,4,6.0606060606060606,-13.4,58
7a241947449cc45dbfda4f9d0798d9d0,4,6.0606060606060606,-14.62,56
834f3294fba9f932f56edc879193f925,4,6.0606060606060606,-8.8,66
1bb2bdb95f4841f1bba2c0d2cd83d3c9,5,6.024096385542169,-12.56,79
25c5c91f63607446a97b143d2d535d31,16,6.015037593984962,-11.27,156
1554a68530182680ad5c8b042c3ab563,16,5.992509363295881,-13.09,246
2e1c9f22be269ef4643f826c9e650a52,10,5.9880239520958085,-9.76,161
4c18691b6037662be2df78a765d98ab5,4,5.970149253731343,-10.75,63
004c9cd9d87a3c30c522c48c4fc07416,10,5.952380952380952,-11.33,156
5656537e588803a555b8eb41f07a944b,11,5.9459459459459465,-11.23,171
8a32e327fe2c1b3511609d81aaf9f042,10,5.9171597633136095,-13.57,126
4b9750c8ad28220fe6702d4ecb7c898f,13,5.88235294117647,-8.68,217
7ea5bfa6c340f58f8e71fc1f0412b0d6,6,5.88235294117647,-9.5,96
951e8cef368f09bb3f3d03c00ca4702c,4,5.797101449275362,-10.12,62
827f8f69dfa529c561901c4f2e0f332f,6,5.769230769230769,-10.35,91
8d956fec2e4337affcb520f56fd8cbfd,13,5.726872246696035,-10.01,210
3c7c4a49ec3c6550809089c6a2ca9370,9,5.69620253164557,-8.68,139
f457c46070d02cadd8a68551231220dd,13,5.6521739130434785,-11.67,195
59fb871bf6f4522a87ba567b42dafecf,7,5.6000000000000005,-14.03,123
2a7dc43cecabf23403078e2188437d1d,3,5.555555555555555,-9.54,52
8e6cc767478edae941d9bd9eb778d77a,6,5.555555555555555,-12.8,100
46dc3b2cc0980fb8ec44634e21d2718e,29,5.544933078393881,-11.48,503
3d871de0142ce09b7081e2b9d1733cb1,62,5.4818744473916885,-12.4,1064
5f2684dab12e59f83bef73ae57724e45,4,5.47945205479452,-10.35,67
4992e76a42cb3aad7a7047e0d3d7e729,4,5.47945205479452,-9.83,56
1127b7f2594683f2510f1c2c834a486b,7,5.46875,-9.97,110
dd2bdf855a9172734fbc3744021ae9b9,6,5.454545454545454,-22.09,105
